Aadhar No,Full Name,Date Of Birth,Gender,Address,Fathers Name
9999994098,Jane Waco,01-Jun-07,M,ARCADE BLVD / BRANCH ST,
9999994099,Jane Waco,08-Jul-08,M,5755 MUSKINGHAM WAY,
9999994100,Guy Phonely,01-Jan-01,M,117 HARTNELL PL,
9999994101,Pamela Coakley,30-Oct-07,F,1501 16TH ST,
9999994102,Vivek Grady,20-May-08,M,2560 W EL CAMINO AVE,
9999994103,Vivek Grady,01-Jan-08,M,2331 NORTHVIEW DR,
9999994104,Ben Ferrer,01-Jan-07,M,SHINING STAR DR / LA FRESA CT,
9999994105,Ben Ferrer,01-Feb-08,M,5210 71ST ST,
9999994106,Chris Selesnick,01-Feb-07,F,34TH AVE / 59TH ST,
9999994107,Matt Connell,01-Aug-05,M,6001 RIZA AVE,
9999994108,Matt Connell,19-Dec-05,M,1700 WENTWORTH AVE,
9999994109,Matt Connell,25-Oct-06,M,2231 NORTHVIEW DR,
9999994110,Jim Kriz,29-Jun-07,M,STOCKTON BLVD / MACK RD,
9999994111,Jim Kriz,01-Feb-07,F,STOCKTON BLVD / ELDER CREEK RD,
9999994112,Stephanie Ulpright,11-Jun-08,M,FREEPORT BLVD / 35TH AVE,
9999994113,Stephanie Ulpright,01-Mar-08,M,114 TINKER WAY,
9999994114,Alejandro Grove,24-Apr-08,M,4925 15TH AVE,
9999994115,Chris Selesnick,22-Apr-08,M,2025 EDISON AVE,
9999994116,Sandra Flanagan,01-Jun-07,F,ROSEVILLE RD / MARCONI AVE,
9999994117,Sally Hughsby,16-Oct-05,M,7580 CENTER PKWY,
9999994118,Jim Kriz,11-Jul-07,M,1710 AUBURN BLVD,
9999994119,Scott Cohen,01-Jun-08,M,SAN JUAN RD / EL CENTRO RD,
9999994120,Guy Phonely,01-Jun-07,M,3291 TRUXEL RD,
9999994121,Odella Nelson,08-Jul-08,F,3661 TRUXEL RD,
9999994122,Odella Nelson,01-Jan-01,M,6613 COUGAR DR,
9999994123,Odella Nelson,30-Oct-07,M,200 BICENTENNIAL CIR,
9999994124,Odella Nelson,20-May-08,M,7909 34TH AVE,
9999994125,Ben Ferrer,01-Jan-08,M,2515 28TH ST,
9999994126,Steve Nguyen,01-Jan-07,F,MARCONI AVE / ROSEVILLE RD,
9999994127,Harold Ryan,01-Feb-08,M,NORWOOD AVE / I 80 EB,
9999994128,Harold Ryan,01-Feb-07,M,I ST / 5TH ST,
9999994129,Matt Connell,01-Aug-05,M,2861 TAFT ST,
9999994130,Matt Connell,19-Dec-05,M,2410 E ST,
9999994131,Liz Willingham,25-Oct-06,F,FRUITRIDGE RD / FRANKLIN BLVD,
9999994132,Kean Nguyen,29-Jun-07,M,4500 TYNEBOURNE ST,
9999994133,Katherine Nockton,01-Feb-07,M,936 JOHNFER WAY,
9999994134,Alejandro Grove,11-Jun-08,M,1650 EL CAMINO AVE,
9999994135,Alejandro Grove,01-Mar-08,M,3017 NOTRE DAME DR,
9999994136,Katherine Nockton,24-Apr-08,F,8200 CENTER PKWY,
9999994137,Kean Nguyen,22-Apr-08,M,6860 STEAMBOAT WAY,
9999994138,Harold Ryan,01-Jun-07,M,1 SHOAL CT,
9999994139,Sam Zeldin,16-Oct-05,M,707 MCCLATCHY WAY,
9999994140,Jas O'Carroll,11-Jul-07,M,MORELL ST / RIVERMONT CT,
9999994141,Robert Marley,01-Jun-08,F,200 COOKINGHAM WAY,
9999994142,Robert Marley,01-Jun-07,M,324 T ST,
9999994143,Stephanie Ulpright,08-Jul-08,M,1011 12TH ST,
9999994144,Harold Ryan,01-Jan-01,M,5201 JACINTO AVE,
9999994145,Mick Hernandez,30-Oct-07,M,DEL PASO BLVD / ELEANOR AVE,
9999994146,Tony Chapman,20-May-08,F,FRANKLIN BLVD / SUTTERVILLE RD,
9999994147,Robert Marley,01-Jan-08,M,5399 FRUITRIDGE RD,
9999994148,Robert Marley,01-Jan-07,M,2820 CONNIE DR,
9999994149,Jay Kimmel,01-Feb-08,M,134 FOUNTAIN OAKS CIR,
9999994150,Jay Kimmel,01-Feb-07,M,4315 BURGESS DR,
9999994151,Laura Armstrong,01-Aug-05,F,914 12TH ST,
9999994152,Bill Overfelt,19-Dec-05,M,1701 SUTTERVILLE RD,
9999994153,Bill Overfelt,25-Oct-06,M,2015 4TH ST,
9999994154,Herbert Flentye,29-Jun-07,M,ELDER CREEK RD / 65TH STREET EXPY,
9999994155,Ryan Akin,01-Feb-07,M,19TH ST / 14TH AVE,
9999994156,Ryan Akin,11-Jun-08,F,53RD ST / H ST,
9999994157,Ryan Akin,01-Mar-08,M,CELEBRITY ST / CAPRICE CT,
9999994158,John Lucas,24-Apr-08,M,1735 ARDEN WAY,
9999994159,Vivek Grady,22-Apr-08,M,2518 X ST,
9999994160,Vivek Grady,01-Jun-07,M,204 RIVER ACRES DR,
9999994161,Vivek Grady,16-Oct-05,F,8326 HOLLY JILL WAY,
9999994162,Jane Waco,11-Jul-07,M,1217 RIVERA DR,
9999994163,Xylona Price,01-Jun-08,M,5351 47TH AVE,
9999994164,Xylona Price,01-Jun-07,M,GINGHAMTON WAY / SANTA ANA AVE,
9999994165,Xylona Price,08-Jul-08,M,DIXIEANNE AVE / OAKMONT ST,
9999994166,Bill Overfelt,01-Jan-01,F,6879 14TH AVE,
9999994167,Steve Nguyen,30-Oct-07,M,MARYSVILLE BLVD / ROANOKE AVE,
9999994168,Steve Nguyen,20-May-08,M,ARCADE BLVD / MARYSVILLE BLVD,
9999994169,John Lucas,01-Jan-08,M,MARYSVILLE BLVD / MAIN AVE,
9999994170,John Lucas,01-Jan-07,M,700 16TH ST,
9999994171,Laura Armstrong,01-Feb-08,F,1656 LOS ROBLES BLVD,
9999994172,Harold Ryan,01-Feb-07,M,BIDWELL WAY / 17TH ST,
9999994173,Harold Ryan,01-Aug-05,M,MARYSVILLE BLVD / ARCADE BLVD,
9999994174,Lena Radford,19-Dec-05,M,6879 14TH AVE,
9999994175,Lena Radford,25-Oct-06,M,2250 68TH AVE,
9999994176,Vivek Grady,29-Jun-07,F,8270 BELVEDERE AVE,
9999994177,Vivek Grady,01-Feb-07,M,1555 WOODLAND OAKS WAY,
9999994178,Jas O'Carroll,11-Jun-08,M,8588 UNSWORTH AVE,
9999994179,John Castell,01-Mar-08,M,SOUTH AVE / MARYSVILLE BLVD,
9999994180,Bill Overfelt,24-Apr-08,M,5770 FREEPORT BLVD,
9999994181,Bill Overfelt,22-Apr-08,F,3555 AUBURN BLVD,
9999994182,Jim Kriz,01-Jun-07,M,FOWLER AVE / STOCKTON BLVD,
9999994183,Sally Hughsby,16-Oct-05,M,29TH ST / P ST,
9999994184,Sean O'Donnell,11-Jul-07,M,2250 JOHN STILL DR,
9999994185,Sean O'Donnell,01-Jun-08,M,4451 GATEWAY PARK BLVD,
9999994186,Sean O'Donnell,01-Jun-07,F,DEL PASO BLVD / ELEANOR AVE,
9999994187,Sean O'Donnell,08-Jul-08,M,414 K ST,
9999994188,Nat Carroll,01-Jan-01,M,8588 UNSWORTH AVE,
9999994189,Nat Carroll,30-Oct-07,M,WINTERHAVEN AVE / NORTHGATE BLVD,
9999994190,John Lucas,20-May-08,M,2989 MARYSVILLE BLVD,
9999994191,Stephanie Ulpright,01-Jan-08,F,3324 41ST ST,
9999994192,Stephanie Ulpright,01-Jan-07,M,FRUITRIDGE RD / HWY 99 NB,
9999994193,Stephanie Ulpright,01-Feb-08,M,4400 WINDSONG ST,
9999994194,Stephanie Ulpright,01-Feb-07,M,1600 VALLEJO WAY,
9999994195,Bill Overfelt,01-Aug-05,M,7427 RIO MONDEGO DR,
9999994196,Alejandro Grove,19-Dec-05,F,1840 50TH ST,
9999994197,Alejandro Grove,25-Oct-06,M,MARYSVILLE BLVD / ARCADE BLVD,
9999994198,John Lucas,29-Jun-07,M,1118 7TH ST,
9999994199,Jim Kriz,01-Feb-07,M,1247 BLUMENFELD DR,
9999994200,Jim Kriz,11-Jun-08,M,3555 AUBURN BLVD,
9999994201,Cathy Prescott,01-Mar-08,F,7293 FARM DALE WAY,
9999994202,Vivek Grady,24-Apr-08,M,LOS ROBLES BLVD / MARYSVILLE BLVD,
9999994203,Todd Sumrall,22-Apr-08,M,8400 FOLSOM BLVD,
9999994204,Sarah Foster,01-Jun-07,M,3700 2ND AVE,
9999994205,Sarah Foster,16-Oct-05,M,MARYSVILLE BLVD / SONOMA AVE,
9999994206,Sarah Foster,11-Jul-07,F,DEL PASO BLVD / ELEANOR AVE,
9999994207,Sarah Foster,01-Jun-08,M,5761 FLORIN PERKINS RD,
9999994208,Tony Chapman,01-Jun-07,M,3315 NORTHGATE BLVD,
9999994209,Tony Chapman,08-Jul-08,M,1 PARK CENTER DR,
9999994210,Alejandro Grove,01-Jan-01,M,VALLEY HI DR / HALKEEP WAY,
9999994211,Steve Nguyen,30-Oct-07,F,2500 NEW MARKET DR,
9999994212,Steve Nguyen,20-May-08,M,3066 FREEPORT BLVD,
9999994213,Steve Nguyen,01-Jan-08,M,1525 15TH ST,
9999994214,Steve Nguyen,01-Jan-07,M,4007 BROADWAY,
9999994215,Laura Armstrong,01-Feb-08,M,4000 TRUXEL RD,
9999994216,Laura Armstrong,01-Feb-07,F,2215 DEL PASO BLVD,
9999994217,Laura Armstrong,01-Aug-05,M,FREEPORT BLVD / 35TH AVE,
9999994218,Laura Armstrong,19-Dec-05,M,RALEY BLVD / YOUNGS AVE,
9999994219,Sandra Flanagan,25-Oct-06,M,TAFT ST / DEL PASO BLVD,
9999994220,Sandra Flanagan,29-Jun-07,M,6231 63RD ST,
9999994221,Arthur Prichep,01-Feb-07,F,3261 NORWOOD AVE,
9999994222,Ryan Akin,11-Jun-08,M,NATOMAS BLVD / DEL PASO RD,
9999994223,Nat Carroll,01-Mar-08,M,BRANCH ST / ELEANOR AVE,
9999994224,Nat Carroll,24-Apr-08,M,1040 FLORIN RD,
9999994225,Stephanie Ulpright,22-Apr-08,M,POCKET RD / BLACKWATER WAY,
9999994226,Stephanie Ulpright,01-Jun-07,F,4561 78TH ST,
9999994227,Katherine Nockton,16-Oct-05,M,2241 DEL PASO RD,
9999994228,Jane Waco,11-Jul-07,M,12TH ST / D ST,
9999994229,Sally Hughsby,01-Jun-08,M,14TH AVE / 18TH ST,
9999994230,Sally Hughsby,01-Jun-07,M,5770 FREEPORT BLVD,
9999994231,Sally Hughsby,08-Jul-08,F,EHRHARDT AVE / CENTER PKWY,
9999994232,Lena Radford,01-Jan-01,M,730 DIXIEANNE AVE,
9999994233,John Castell,30-Oct-07,M,113 K ST,
9999994234,John Lucas,20-May-08,M,911 K ST,
9999994235,John Lucas,01-Jan-08,M,2117 17TH ST,
9999994236,Katherine Nockton,01-Jan-07,F,1523 LOS ROBLES BLVD,
9999994237,John Lucas,01-Feb-08,M,CAMINO ROYALE DR / PEGLER WAY,
9999994238,Karen Daniels,01-Feb-07,M,2441 RIO LINDA BLVD,
9999994239,Karen Daniels,01-Aug-05,M,CAMINO ROYALE DR / PEGLER WAY,
9999994240,Karen Daniels,19-Dec-05,M,1720 CHARM WAY,
9999994241,Scott Cohen,25-Oct-06,F,57TH ST / H ST,
9999994242,Steve Nguyen,29-Jun-07,M,WILLOWWICK WAY / 68TH AVE,
9999994243,Sarah Foster,01-Feb-07,M,3433 TAYLOR ST,
9999994244,Vivek Grady,11-Jun-08,M,LEXINGTON ST / EL CAMINO AVE,
9999994245,Stuart Calhoun,01-Mar-08,M,H ST / 57TH ST,
9999994246,Stuart Calhoun,24-Apr-08,F,2538 SAN FERNANDO WAY,
9999994247,Matt Connell,22-Apr-08,M,2198 MARICOPA WAY,
9999994248,John Castell,01-Jun-07,M,555 SEQUOIA PACIFIC BLVD,
9999994249,John Castell,16-Oct-05,M,6600 BRUCEVILLE RD,
9999994250,John Lucas,11-Jul-07,M,FREEPORT BLVD / FLORIN RD,
9999994251,John Castell,01-Jun-08,F,N 11TH ST / N D ST,
9999994252,Vivek Grady,01-Jun-07,M,MACK RD / TANGERINE AVE,
9999994253,Vivek Grady,08-Jul-08,M,415 12TH ST,
9999994254,Arthur Prichep,01-Jan-01,M,1 SHOAL CT,
9999994255,Sally Hughsby,30-Oct-07,M,1748 SOUTH AVE,
9999994256,Greg Hansen,20-May-08,F,2901 TRUXEL RD,
9999994257,Karen Daniels,01-Jan-08,M,4200 NORWOOD AVE,
9999994258,Greg Hansen,01-Jan-07,M,N 16TH ST / 12TH ST,
9999994259,Alejandro Grove,01-Feb-08,M,6309 GREENHAVEN DR,
9999994260,Lindsay Shagiari,01-Feb-07,M,950 FLORIN RD,
9999994261,Darrin Martin,01-Aug-05,F,TRACTION AVE / EL CAMINO AVE,
9999994262,Ken Brennan,19-Dec-05,M,7300 WYNDHAM DR,
9999994263,Ken Brennan,25-Oct-06,M,1633 71ST AVE,
9999994264,Ken Brennan,29-Jun-07,M,24TH ST / W ST,
9999994265,Max Jones,01-Feb-07,M,1632 41ST ST,
9999994266,Lena Creighton,11-Jun-08,F,1695 ARDEN WAY,
9999994267,Lena Creighton,01-Mar-08,M,545 K ST,
9999994268,Ken Brennan,24-Apr-08,M,EL CAMINO AVE / LEXINGTON ST,
9999994269,Joe Kamberova,22-Apr-08,M,2620 SAN FERNANDO WAY,
9999994270,Joe Kamberova,01-Jun-07,M,5301 57TH ST,
9999994271,Barry Franz,16-Oct-05,F,19TH AVE / FRANKLIN BLVD,
9999994272,Barry Franz,11-Jul-07,M,5145 MACK RD,
9999994273,Odella Nelson,01-Jun-08,M,4424 ARLINGTON AVE,
9999994274,Odella Nelson,01-Jun-07,M,4417 11TH AVE,
9999994275,Max Jones,08-Jul-08,M,1919 19TH ST,
9999994276,Filia McAdams,01-Jan-01,F,25 LA FRESA CT,
9999994277,Filia McAdams,30-Oct-07,M,4630 MARION CT,
9999994278,Filia McAdams,20-May-08,M,5303 FRANKLIN BLVD,
9999994279,Maureen Fritzler,01-Jan-08,M,LA FRESA CT / LA PERA CT,
9999994280,Lena Creighton,01-Jan-07,M,4600 BROADWAY,
9999994281,Max Jones,01-Feb-08,F,EL CAMINO AVE / CLAY ST,
9999994282,Max Jones,01-Feb-07,M,2335 FLORIN RD,
9999994283,Dennis Bolton,01-Aug-05,M,ACACIA AVE / RIO LINDA BLVD,
9999994284,Dennis Bolton,19-Dec-05,M,3118 SANTA CRUZ WAY,
9999994285,Maureen Fritzler,25-Oct-06,M,7000 CRANLEIGH AVE,
9999994286,Art Foster,29-Jun-07,F,AUBURN BLVD / AUBURN BLVD OFF,
9999994287,Art Foster,01-Feb-07,M,EL CAMINO AVE / EVERGREEN ST,
9999994288,Erica Hackney,11-Jun-08,M,AHERN ST / N 12TH ST,
9999994289,Erica Hackney,01-Mar-08,M,EL CAMINO AVE / CONNIE DR,
9999994290,Don Weiss,24-Apr-08,M,715 L ST,
9999994291,Jessica Myrick,22-Apr-08,F,5579 MACK RD,
9999994292,Darrin Martin,01-Jun-07,M,2331 K ST,
9999994293,Darrin Martin,16-Oct-05,M,13TH ST / E ST,
9999994294,Bruce Degenhardt,11-Jul-07,M,3125 SANTA CRUZ WAY,
9999994295,Bruce Degenhardt,01-Jun-08,M,VALLEY HI DR / GRANDSTAFF DR,
9999994296,Bruce Degenhardt,01-Jun-07,F,407 FLORIN RD,
9999994297,Jenna Caffey,08-Jul-08,M,875 RANCHO ROBLE WAY,
9999994298,Kalyca Meade,01-Jan-01,M,1148 WEBER WAY,
9999994299,Dennis Bolton,30-Oct-07,M,EL CAMINO AVE / DEL PASO BLVD,
9999994300,Jenna Caffey,20-May-08,M,662 ALAMOS AVE,
9999994301,Max Jones,01-Jan-08,F,BROADWAY / 32ND ST,
9999994302,Lena Creighton,01-Jan-07,M,8001 BRUCEVILLE RD,
9999994303,Art Foster,01-Feb-08,M,6051 MACK RD,
9999994304,Ken Brennan,01-Feb-07,M,1808 DEL PASO BLVD,
9999994305,Jenna Caffey,01-Aug-05,M,3118 19TH AVE,
9999994306,Troy Blackwell,19-Dec-05,F,547 L ST,
9999994307,Troy Blackwell,25-Oct-06,M,2659 KIT CARSON ST,
9999994308,Troy Blackwell,29-Jun-07,M,3403 WINTER PARK DR,
9999994309,Jessica Myrick,01-Feb-07,M,1309 BROADWAY,
9999994310,Harry Marie,11-Jun-08,M,5924 63RD ST,
9999994311,Erica Hackney,01-Mar-08,F,8667 FOLSOM BLVD,
9999994312,Erica Hackney,24-Apr-08,M,7944 LA RIVIERA DR,
9999994313,Lena Creighton,22-Apr-08,M,1506 13TH ST,
9999994314,Lena Creighton,01-Jun-07,M,DARINA AVE / BEAUMONT ST,
9999994315,Troy Blackwell,16-Oct-05,M,2451 MEADOWVIEW RD,
9999994316,Troy Blackwell,11-Jul-07,F,32ND ST / 1ST AVE,
9999994317,Troy Blackwell,01-Jun-08,M,137 CORAL GABLES CT,
9999994318,Troy Blackwell,01-Jun-07,M,2419 DEL PASO BLVD,
9999994319,Patricia Hirasaki,08-Jul-08,M,5901 88TH ST,
9999994320,Dennis Bolton,01-Jan-01,M,LAMPASAS AVE / EDGEWATER RD,
9999994321,Ken Brennan,30-Oct-07,F,3243 AZEVEDO DR,
9999994322,Ken Brennan,20-May-08,M,108 TIVOLI WAY,
9999994323,Harry Marie,01-Jan-08,M,651 I ST,
9999994324,Clytie Kelty,01-Jan-07,M,2750 SUTTERVILLE RD,
9999994325,Mark Cousins,01-Feb-08,M,2570 SUTTERVILLE RD,
9999994326,Art Foster,01-Feb-07,F,1407 MCALLISTER AVE,
9999994327,Art Foster,01-Aug-05,M,12TH ST / K ST L ST ALY,
9999994328,Odella Nelson,19-Dec-05,M,43RD ST / 8TH AVE,
9999994329,Odella Nelson,25-Oct-06,M,W ST / 26TH ST,
9999994330,Clytie Kelty,29-Jun-07,M,3231 LA SOLIDAD WAY,
9999994331,Clytie Kelty,01-Feb-07,F,12TH ST / E ST,
9999994332,Jim Sink,11-Jun-08,M,757 ALAMOS AVE,
9999994333,Steven Roelle,01-Mar-08,M,2001 BROADWAY,
9999994334,Steven Roelle,24-Apr-08,M,3200 TRUXEL RD,
9999994335,Harry Marie,22-Apr-08,M,4740 FREEPORT BLVD,
9999994336,Clytie Kelty,01-Jun-07,F,I ST / 7TH ST,
9999994337,Clytie Kelty,16-Oct-05,M,1690 ARDEN WAY,
9999994338,Don Weiss,11-Jul-07,M,BROADWAY / 13TH ST,
9999994339,Don Weiss,01-Jun-08,M,HIGH ST / ARCADE BLVD,
9999994340,Don Weiss,01-Jun-07,M,8590 FRUITRIDGE RD,
9999994341,Fred Wasserman,08-Jul-08,F,MACK RD / VALLEY HI DR,
9999994342,Fred Wasserman,01-Jan-01,M,2000 GRAND AVE,
9999994343,Jessica Myrick,30-Oct-07,M,7461 LOMA VERDE WAY,
9999994344,Jessica Myrick,20-May-08,M,8178 LAKE FOREST DR,
9999994345,Kalyca Meade,01-Jan-08,M,GARDEN HWY / NORTHGATE BLVD,
9999994346,Lena Creighton,01-Jan-07,F,2338 FLORIN RD,
9999994347,Lena Creighton,01-Feb-08,M,640 ELEANOR AVE,
9999994348,Beth Thompson,01-Feb-07,M,2750 SUTTERVILLE RD,
9999994349,Maureen Fritzler,01-Aug-05,M,1011 DEL PASO BLVD,
9999994350,Pete Takahito,19-Dec-05,M,3038 40TH ST,
9999994351,Lena Creighton,25-Oct-06,F,4101 INNOVATOR DR,
9999994352,Rob Haberlin,29-Jun-07,M,3940 MARYSVILLE BLVD,
9999994353,Beth Thompson,01-Feb-07,M,3038 40TH ST,
9999994354,Beth Thompson,11-Jun-08,M,44TH ST / 14TH AVE,
9999994355,Jenna Caffey,01-Mar-08,M,FRANKLIN BLVD / MACK RD,
9999994356,Rob Haberlin,24-Apr-08,F,STOCKTON BLVD / MASSIE CT,
9999994357,Fred Wasserman,22-Apr-08,M,5631 53RD ST,
9999994358,Fred Wasserman,01-Jun-07,M,DEL PASO BLVD / EL CAMINO AVE,
9999994359,Don Weiss,16-Oct-05,M,5631 53RD ST,
9999994360,Don Weiss,11-Jul-07,M,1025 ALHAMBRA BLVD,
9999994361,Lena Creighton,01-Jun-08,F,4584 BEECHNUT WAY,
9999994362,Max Jones,01-Jun-07,M,6525 VALLEY HI DR,
9999994363,Max Jones,08-Jul-08,M,2620 F ST,
9999994364,Clytie Kelty,01-Jan-01,M,23 MOSSGLEN CIR,
9999994365,Lena Creighton,30-Oct-07,M,3330 LONG BRANCH CT,
9999994366,Lena Creighton,20-May-08,F,2041 ARLISS WAY,
9999994367,Lena Creighton,01-Jan-08,M,1671 W EL CAMINO AVE,
9999994368,Lena Creighton,01-Jan-07,M,7197 SNOWY BIRCH WAY,
9999994369,Lena Creighton,01-Feb-08,M,3323 HOLLY BRANCH CT,
9999994370,Rob Haberlin,01-Feb-07,M,739 ARDEN WAY,
9999994371,Jenna Caffey,01-Aug-05,F,920 REGATTA DR,
9999994372,Odella Nelson,19-Dec-05,M,8541 DERLIN WAY,
9999994373,Art Foster,25-Oct-06,M,2308 P ST,
9999994374,Art Foster,29-Jun-07,M,610 23RD ST,
9999994375,Jessica Myrick,01-Feb-07,M,715 L ST,
9999994376,Ken Brennan,11-Jun-08,F,8024 ELDER CREEK RD,
9999994377,Ken Brennan,01-Mar-08,M,7918 CARLTON RD,
9999994378,Joe Kamberova,24-Apr-08,M,7840 DEERGLEN WAY,
9999994379,Rob Haberlin,22-Apr-08,M,2001 POINT WEST WAY,
9999994380,Lena Creighton,01-Jun-07,M,ELEANOR AVE / FAIRFIELD ST,
9999994381,Max Jones,16-Oct-05,F,37TH AVE / STOCKTON BLVD,
9999994382,Max Jones,11-Jul-07,M,3304 38TH ST,
9999994383,Don Weiss,01-Jun-08,M,1018 17TH ST,
9999994384,Darrin Martin,01-Jun-07,M,445 JEFFERSON AVE,
9999994385,Darrin Martin,08-Jul-08,M,1511 DEL PASO BLVD,
9999994386,Rob Haberlin,01-Jan-01,F,5672 JAMES WAY,
9999994387,Jim Sink,30-Oct-07,M,515 25TH ST,
9999994388,Clytie Kelty,20-May-08,M,1518 FRIENZA AVE,
9999994389,Clytie Kelty,01-Jan-08,M,1025 UNIVERSITY AVE,
9999994390,Clytie Kelty,01-Jan-07,M,7428 DELTAWIND DR,
9999994391,Jim Sink,01-Feb-08,F,6500 MACK RD,
9999994392,Pete Takahito,01-Feb-07,M,716 22ND ST,
9999994393,Michael Dominguez,01-Aug-05,M,5399 FRUITRIDGE RD,
9999994394,Hallie Redmond,19-Dec-05,M,3801 12TH AVE,
9999994395,Katrina Willman,25-Oct-06,M,6928 TIERRA GREEN WAY,
9999994396,Steven Roelle,29-Jun-07,F,MACK RD / TANGERINE AVE,
9999994397,Steven Roelle,01-Feb-07,M,MACK RD / TANGERINE AVE,
9999994398,Steven Roelle,11-Jun-08,M,6485 VALLEY HI DR,
9999994399,Steven Roelle,01-Mar-08,M,1714 H ST,
9999994400,Rob Haberlin,24-Apr-08,M,4701 JOAQUIN WAY,
9999994401,Rob Haberlin,22-Apr-08,F,TRUXEL RD / I 80 EB,
9999994402,Erica Hackney,01-Jun-07,M,ELEANOR AVE / FORREST ST,
9999994403,John Castell,16-Oct-05,M,WATT AVE / LA RIVIERA DR,
9999994404,John Castell,11-Jul-07,M,J ST / 12TH ST,
9999994405,Benjamin Patterson,01-Jun-08,M,16 SILVERSHORE CT,
9999994406,Maureen Fritzler,01-Jun-07,F,1595 BELL AVE,
9999994407,Maureen Fritzler,08-Jul-08,M,1025 ALHAMBRA BLVD,
9999994408,Michael Dominguez,01-Jan-01,M,715 L ST,
9999994409,Jessica Myrick,30-Oct-07,M,6525 VALLEY HI DR,
9999994410,Jessica Myrick,20-May-08,M,100 BELL AVE,
9999994411,Jim Sink,01-Jan-08,F,STOCKTON BLVD / BROADWAY,
9999994412,Jim Sink,01-Jan-07,M,1121 COMMONS DR,
9999994413,Mark Cousins,01-Feb-08,M,6351 GLENHILLS WAY,
9999994414,Mark Cousins,01-Feb-07,M,1108 CORPORATE WAY,
9999994415,John Castell,01-Aug-05,M,2638 FAIRFIELD ST,
9999994416,John Castell,19-Dec-05,F,201 DANVILLE WAY,
9999994417,Mark Cousins,25-Oct-06,M,23RD AVE / 28TH ST,
9999994418,Kalyca Meade,29-Jun-07,M,130 PRAIRIE CIR,
9999994419,Lena Creighton,01-Feb-07,M,FRANKLIN BLVD / 22ND AVE,
9999994420,Lena Creighton,11-Jun-08,M,3790 POPPY HILL WAY,
9999994421,Michael Dominguez,01-Mar-08,F,2509 NORTHGLEN ST,
9999994422,Max Jones,24-Apr-08,M,2181 MANGRUM AVE,
9999994423,Odella Nelson,22-Apr-08,M,5900 WAREHOUSE WAY,
9999994424,Max Jones,01-Jun-07,M,BROADWAY / 56TH ST,
9999994425,Clytie Kelty,16-Oct-05,M,1814 S ST,
9999994426,Duane Benoit,11-Jul-07,F,J ST / 4TH ST,
9999994427,Duane Benoit,01-Jun-08,M,W ST / 3RD ST,
9999994428,Max Jones,01-Jun-07,M,11 TANFIELD CT,
9999994429,Mark Cousins,08-Jul-08,M,15 FIG LEAF CT,
9999994430,Max Jones,01-Jan-01,M,3810 TRUXEL RD,
9999994431,Gene McClure,30-Oct-07,F,2534 DEL PASO BLVD,
9999994432,Denny Joy,20-May-08,M,JESSIE AVE / NORWOOD AVE,
9999994433,Denny Joy,01-Jan-08,M,6TH ST / X ST,
9999994434,Odella Nelson,01-Jan-07,M,1216 26TH ST,
9999994435,John Castell,01-Feb-08,M,322 DOS RIOS ST,
9999994436,Clytie Kelty,01-Feb-07,F,8TH ST / I ST,
9999994437,Benjamin Patterson,01-Aug-05,M,322 DOS RIOS ST,
9999994438,Michael Dominguez,19-Dec-05,M,5770 FREEPORT BLVD,
9999994439,Michael Dominguez,25-Oct-06,M,3684 SHINING STAR DR,
9999994440,Duane Benoit,29-Jun-07,M,401 I ST,
9999994441,Michael Dominguez,01-Feb-07,F,7260 LEMON HILL AVE,
9999994442,Amy Cox,11-Jun-08,M,2925 CANDIDO DR,
9999994443,Benjamin Patterson,01-Mar-08,M,2025 P ST,
9999994444,Maureen Fritzler,24-Apr-08,M,ELEANOR AVE / DEL PASO BLVD,
9999994445,Maureen Fritzler,22-Apr-08,M,3775 ROBINRIDGE WAY,
9999994446,Mark Cousins,01-Jun-07,F,322 DOS RIOS ST,
9999994447,Kalyca Meade,16-Oct-05,M,18 YARDIS CT,
9999994448,Michael Dominguez,11-Jul-07,M,3110 SAN JOSE WAY,
9999994449,Odella Nelson,01-Jun-08,M,1885 VOLTI WAY,
9999994450,Hallie Redmond,01-Jun-07,M,7995 DEER LAKE DR,
9999994451,Lena Creighton,08-Jul-08,F,9TH ST / T ST,
9999994452,Lena Creighton,01-Jan-01,M,DEL PASO BLVD / EL CAMINO AVE,
9999994453,Lena Creighton,30-Oct-07,M,2101 CLUB CENTER DR,
9999994454,Clytie Kelty,20-May-08,M,34TH ST / 2ND AVE,
9999994455,Odella Nelson,01-Jan-08,M,2ND AVE / FRANKLIN BLVD,
9999994456,Odella Nelson,01-Jan-07,F,3845 MARYSVILLE BLVD,
9999994457,Lena Creighton,01-Feb-08,M,L ST / 10TH ST,
9999994458,Amy Cox,01-Feb-07,M,28TH ST / 2ND AVE,
9999994459,Amy Cox,01-Aug-05,M,4625 44TH ST,
9999994460,Duane Benoit,19-Dec-05,M,DIXIEANNE AVE / CANTALIER ST,
9999994461,Amy Cox,25-Oct-06,F,1100 14TH ST,
9999994462,Maureen Fritzler,29-Jun-07,M,6879 14TH AVE,
9999994463,Benjamin Patterson,01-Feb-07,M,BROADWAY / 57TH ST,
9999994464,Katrina Willman,11-Jun-08,M,5TH ST / SEAVEY CIR,
9999994465,Hallie Redmond,01-Mar-08,M,8785 CENTER PKWY,
9999994466,Hallie Redmond,24-Apr-08,F,2061 MANGRUM AVE,
